input,output
Translate English to Bangla: tom probably won't attend the conference.,টম সম্ভবত সম্মেলনে যোগ দেবে না।
Translate Bangla to English আমি টেনিস খেলছিলাম।,i was playing tennis.
Translate Sylheti to Bangla: কুত্তি ফুকে ধরিলাইবো,কুকুর এসে চিবিয়ে ফেলবে
Translate English to Bangla: we watched a movie.,আমরা একটি সিনেমা দেখেছি।
Translate Bangla to English আপনি কোন মাপের জুতো পরেন?,what size shoes do you wear?
Translate English to Bangla: i can't believe i believed tom.,আমি এখনো বিশ্বাস করতে পারছি না যে আমি টমকে বিশ্বাস করেছিলাম।
Translate Bangla to English কেউ একজন এসেছিলেন।,someone came.
Translate Bangla to English আমি একসময় জ্যোতির্বিজ্ঞানী হতে চেয়েছিলাম।,i once wanted to be an astrophysicist.
Translate Bangla to English আমি ইংরাজি শেখাই।,i teach english.
Translate Bangla to Sylheti: তত্ত্ব,তয়মূল
Translate Sylheti to Bangla: আনরা,আনবেন
"Translate Bangla to English আমি জার্মান পড়তে পারি, কিন্তু বলতে পারি না।","i can read german, but i can't speak it."
Translate English to Bangla: what do you want to cook today?,আজকে আপনি কী রান্না করতে চান?
Translate Bangla to English টম না হাসার চেষ্টা করছিলেন।,tom tried to keep from smiling.
Translate Bangla to English হঠাৎ পদত্যাগ করলেন রাষ্ট্রপতি।,the president suddenly resigned.
Translate Sylheti to Bangla: গাছা,বাতি রাখার উচুস্থান
Translate Bangla to Sylheti: শুনলাম আজকে আমার শ্বশুর নাকি আসছেন,হুনলাম আজকে আমার হউর বুইলে আইরাইন
Translate English to Bangla: i've got diabetes.,আমার ডায়াবেটিস আছে।
Translate Bangla to English দয়া করে আমার মলপত্রটা দেখবেন।,please look after my luggage.
Translate English to Bangla: i'll wait.,আমি অপেক্ষা করবো।
Translate Bangla to English আমি টমের সঙ্গে কথা বলতে চাই না।,i don't want to talk to tom.
Translate Bangla to Sylheti: এদিকে,ইপায়
Translate Bangla to English তারা আমাদের ক্ষতি করবে না।,they won't hurt us.
Translate Bangla to Sylheti: এদিকে,অমনেদি
Translate Bangla to English এটা নে।,take it.
Translate Bangla to Sylheti: চর্বণ দাঁত,গাইল দাঁত
Translate Bangla to English আমি আপেল খেতে পছন্দ করি।,i like to eat apples.
Translate Bangla to English একদম ঠিক!,perfect!
Translate English to Bangla: who gave it to you?,এটা তোমাকে কে দিয়েছে?
Translate Bangla to Sylheti: এদিকে,ইবায়
Translate Bangla to Sylheti: পিছনে,করে
Translate Bangla to Sylheti: ডিঙিয়ে,ডিয়াইয়া
Translate Bangla to Sylheti: অভাাগিনী,আবাগি
Translate Sylheti to Bangla: আথাইয়া পিথাইয়া,সেবা শুশ্রূষা করে
Translate Bangla to Sylheti: কৌসুলি,টন্নি
Translate English to Bangla: i caught a cold.,আমি ঠান্ডা লাগিয়ে ফেলেছি।
Translate English to Bangla: i'd like to change my reservation.,আমি আমার সংরক্ষণটি বাতিল করতে চাই।
Translate Sylheti to Bangla: তুরে লাগি কষ্ট পাইলেও আমি কিছু বলুম না,তোর জন্য কষ্ট পেলেও আমি কিছু বলব না
Translate English to Bangla: there are many people in asia.,এশিয়াতে অনেক লোক আছে।
Translate English to Bangla: she didn't tell me her name.,ও আমাকে ওর নাম বলেনি।
Translate English to Bangla: i wasn't able to get what i wanted.,আমি যা চেয়েছিলাম তা পাইনি।
Translate Sylheti to Bangla: ছাছি,চালের পানি পরার স্থান
Translate English to Bangla: i'll ask around.,আমি আশেপাশে জিজ্ঞাসা করে দেখবো।
Translate Bangla to Sylheti: একহাত,আত্তা
Translate English to Bangla: i am in the house.,আমি বাড়িতে আছি।
Translate English to Bangla: she got angry.,উনি রেগে গেছিলেন।
Translate Bangla to Sylheti: মাচাং,আকার
Translate English to Bangla: you go first.,তুমি প্রথমে যাও।
Translate Bangla to English আপনি কি এক মিনিটের জন্য অপেক্ষা করতে পারবেন?,can you wait a minute?
Translate Sylheti to Bangla: আইজ অতটা বইচ্ছর অইল আমি তার ফাইলামনা কিনারা,আজ এত বছর হয়েছে আমি তার কূলকিনারা পেলামনা
Translate Bangla to Sylheti: প্রতিহিংসা,ইরাল
Translate Bangla to Sylheti: থামানুয়া,থামানি
Translate English to Bangla: i couldn't move my right foot.,আমি আমার ডান পাটা নাড়াতে পারিনি।
Translate Bangla to English তাদের গাড়ি কোনটা?,which car is theirs?
Translate Bangla to English আমার বন্ধু আমাকে রাতে খাওয়ার আমন্ত্রণ জানিয়েছে।,my friends invited me to dinner.
Translate English to Bangla: can i ask you some questions?,আমি কি তোমাকে কিছু প্রশ্ন জিজ্ঞাসা করতে পারি?
Translate Sylheti to Bangla: অউগলাত,আড়ালে
Translate Bangla to Sylheti: ছাদের কাঠামো,খাপ
Translate English to Bangla: i don't want to go with you.,আমি আপনার সাথে যেতে চাই না।
Translate Sylheti to Bangla: গোফা,ডেরা
Translate English to Bangla: the station is pretty far.,স্টেশনটা বেশ কিছুটা দূরে।
Translate Bangla to Sylheti: গরজ,গরজি
Translate Bangla to Sylheti: নিরেট,কনকনা
Translate Bangla to Sylheti: থুনিকে,খাম্বারে
Translate Bangla to Sylheti: পশুর নাক বাধার রশি,নক্তা
Translate Sylheti to Bangla: পথর কান্দাথ ফুল,পথের পাশে কান্নার ফুল
Translate Bangla to English টম ভাইরাসের মতো।,tom is like a virus.
Translate Bangla to English আমি যা করেছি তাতে আমি গর্বিত নই।,i'm not proud of what i did.
Translate Bangla to English আমার কাছে তালিকাটি আছে।,i have the list.
Translate Sylheti to Bangla: ঠার,টের
Translate Sylheti to Bangla: চাসনি,কাঁগজি লেবু হতে লম্বা ও আকারে বড় লেবু
Translate English to Bangla: tom likes hockey.,টম হকি পছন্দ করে।
Translate Sylheti to Bangla: পরিশ্রমে ভুলি লাই বাপ দাদার নাম,পরিশ্রমে ভুলে ফেলি বাবার ও দাদার নাম
Translate Bangla to Sylheti: খুচরা,খুড়দা
Translate Sylheti to Bangla: করাইছইন,করিয়েছেন
Translate Bangla to English টম চেঁচালো।,tom shouted.
Translate Bangla to English টম প্রোগ্রামিং শিখছে।,tom is learning programming.
Translate Sylheti to Bangla: ছাড়া,মেজাজ
Translate Bangla to Sylheti: বেচারা কত দূর থেকে পরিশ্রম করে এসেছে,বেছারা কতো দূর থেইকা মেহনত করি আইছইন
Translate English to Bangla: start here.,এখানে শুরু করেন।
Translate Bangla to English আমি চাই টম কোথায় আছে।,i want to know where tom is.
Translate Sylheti to Bangla: খারিচতা,নোংরা
Translate Bangla to English আমরা জিতবই।,we'll win.
Translate Sylheti to Bangla: গুগাইল,ছোট শামুক
Translate English to Bangla: can i work here?,আমি কি এখানে কাজ করতে পারি?
Translate Sylheti to Bangla: আমাঠাইন,আমার কাছে
Translate Bangla to Sylheti: আঁচিলের মত ক্ষুদ্র কীট,কাআলিশ
Translate Bangla to English ওটা কি তোমার বই?,is that your book?
Translate Sylheti to Bangla: বিশ্ববাসী মাথামোটা আমরারে মানইন,সারা পৃথিবীর মানুষ আমাদের সম্মান করে
Translate Bangla to English আমি ক্লান্ত।,i'm exhausted.
Translate Bangla to Sylheti: হাত দিবেন না,আতাইবায় না
Translate English to Bangla: stop screaming.,চিৎকার করা বন্ধ করো।
Translate Bangla to Sylheti: আপনার নোয়াখালী যদি পড়ালেখা,আফনার নোয়াখালী যদি পড়ালেখা
Translate English to Bangla: i'd like you to talk to tom.,আমার ইচ্ছা যে আপনি টমের সঙ্গে কথা বলেন।
Translate Bangla to Sylheti: হাতি (পুং),দাঁতলা
Translate English to Bangla: i don't want to argue with you.,আমি তোমার সঙ্গে তর্ক করতে চাই না।
Translate English to Bangla: the terrorists released the hostages.,আতঙ্কবাদীরা বন্দিদের ছেড়ে দিলো।
Translate English to Bangla: i was there.,আমি ওখানে ছিলাম।
Translate Bangla to Sylheti: এইভাবে,ঔলাকান
Translate Bangla to Sylheti: বলেন,কইন
Translate Bangla to Sylheti: বিড়াল( স্ত্রী),মেকুর
Translate English to Bangla: don't forget to invite tom.,টমকে আমন্ত্রন জানাতে ভুলো না।
Translate Sylheti to Bangla: তুমি আর করিওনা,তুমি আর করো না
Translate English to Bangla: tom is yelling.,টম চিৎকার করছে।
Translate English to Bangla: ask me again in october.,আমাকে আবার অক্টোবরে জিজ্ঞাসা করবেন।
Translate Bangla to Sylheti: হীন,ইন
Translate Bangla to Sylheti: আপনি কি বলেন আমি বুঝি না,আপনে কিতা কইন আমি বুজিয়ার না
Translate Bangla to English আমার প্রতিবেশীর নাম টম জ্যাকসন।,my neighbor's name is tom jackson.
Translate Bangla to English ও একজন ডাক্তার।,he is a doctor.
Translate English to Bangla: i'm downstairs.,আমি নীচে আছি।
Translate English to Bangla: they quarreled.,তারা ঝগড়া করছিল।
Translate Bangla to English টম আমার ভাইদের মাঝে সবচেইয়ে ছোট।,tom is my youngest brother.
Translate Bangla to Sylheti: ঢিল মারা,ইটা
Translate Sylheti to Bangla: অজমি,হজমি
Translate Bangla to Sylheti: অস্থায়ী,উটরা
Translate Bangla to English সে কি গান গাইছে না কি পিয়ানো বাজাচ্ছে?,is she singing a song or playing the piano?
Translate Bangla to Sylheti: ঘন্টাখানেক পর,ঘরিবাদে
Translate Bangla to English আমি টমের সাথে অনেকবার দেখা করেছি।,i've met tom several times.
Translate English to Bangla: show me.,আমাকে দেখাও।
Translate English to Bangla: i didn't want to do that.,আমি ওটা করতে চাই নি।
Translate Sylheti to Bangla: ইয়ারানা,দোস্তি
Translate English to Bangla: i didn't hit anyone.,আমি কাউকে মারিনি।
Translate Bangla to English সময় শেষ।,time is up.
Translate Sylheti to Bangla: বারমাইয়া,বারমাসি
Translate English to Bangla: where are you?,তুমি কোথায়?
Translate Sylheti to Bangla: জসীর,জায়গির
Translate Sylheti to Bangla: ইতা দিন পরবাস অইগেছে,এভাবে দিন পরবাস হয়ে গেছে
Translate Bangla to Sylheti: গ্রাম,গাউ
Translate Bangla to Sylheti: বেগুন দিয়ে শুটকি মাছ রান্না হইছে,হুটকি দিয়া বাইঙ্গন রানচুইন
Translate Bangla to English অনুগ্রহ করে ধিরে কথা বলুন।,please speak slowly.
Translate Sylheti to Bangla: পদানি,অনীহা প্রকাশ
Translate Bangla to Sylheti: বৃদ্ধের সন্তান,অকালর ছাবাল
Translate Bangla to Sylheti: চালের ছিদ্র পথে বৃষ্টি পরা,উরসিলা
Translate Bangla to Sylheti: মানুষে শুনেও আরাম পাবে,মাইনষে হুনিয়াও আরাম ফাইব
Translate Sylheti to Bangla: ঠকাইছুন,ঠকানো হয়েছে
Translate Sylheti to Bangla: তউলিয়া,পরীক্ষা করা
Translate Sylheti to Bangla: হাইঞ্জাবালা,সন্ধ্যা
Translate English to Bangla: can you speak french?,আপনারা কি ফরাসি ভাষা বলতে পারেন?
Translate English to Bangla: where is my book?,আমার বই কই?
Translate Bangla to English আমার আর ওটা দরকার নেই।,i don't want it anymore.
Translate Bangla to English আশা করি টম আমাকে ভুলে যাবে না।,i hope tom doesn't forget me.
Translate English to Bangla: find tom.,টমকে খোঁজেন।
Translate Bangla to English তুমি কি কখনো বস্টন গেছো?,have you ever been to boston?
Translate Sylheti to Bangla: আতুরা,হাতুড়ি
Translate Bangla to English তুমি কি মনে করো যে টমের বদলে আর কাউকে পাওয়া যাবে?,do you think we can find someone to replace tom?
Translate Bangla to Sylheti: নাগালের বাইরে,আলগা দুলগা
Translate Sylheti to Bangla: বাড়িত মেয়মান আইছুইন,বাড়িতে মেহমান এসেছে
Translate Sylheti to Bangla: ঠগামি,প্রতারণা
Translate Bangla to Sylheti: কাপুনি,থরপনি
"Translate English to Bangla: i don't like it, either.",আমিও এটা পছন্দ করি না।
Translate Bangla to English আমি টেনিস খেলতাম।,i used to play tennis.
Translate Bangla to Sylheti: এই একটু এদিকে তাকাওতো একটু ভালো মন্দ বলবো,এরে ওবায় সাওসাইন থুড়া বালা বুরা মাত্তাম
Translate Bangla to Sylheti: সঠিক পথ,দাড়াদিপ
Translate Bangla to English আমি দেখতে চাই টম কেমন ভাবে থাকে।,i want to see how tom lives.
Translate Bangla to English তারা কিছুই করেনি।,they didn't do anything.
Translate Bangla to Sylheti: নোয়াখালীর আলামিনের বিস্কুট দিয়েই আমার বক্তব্য শুরু করছি,নোয়াখালীর আলামিনর বিস্কুট দিয়াউ আমার বক্তব্য শুরু কররাম
Translate Bangla to Sylheti: এইটে উঠে গেসো,এইটে উঠি গেসো
Translate Bangla to Sylheti: গন্ডগোল,কতিছাল
Translate English to Bangla: it's a national newspaper.,এটি একটি জাতীয় পত্রিকা।
Translate Bangla to English দয়া করে আমাকে সেই পেন্সিলটি দিন।,please hand me that pencil.
Translate English to Bangla: we won the battle.,আমরা যুদ্ধে জয়ী হয়েছি।
Translate English to Bangla: forget him.,ওকে ছাড়ুন।
Translate English to Bangla: do you know what he said?,আপনি কি জানেন ও কী বললো?
Translate Bangla to Sylheti: চাকা,চাক্কা
Translate Bangla to English ওটা এখান থেকে কতটা দূরে?,how far is it from here?
Translate Sylheti to Bangla: আলুয়া,হালুয়া
Translate Bangla to English আমরা যুদ্ধ ঘোষণা করেছি।,we declared war.
Translate Sylheti to Bangla: আমি বিয়ার ফরে এদেশে থাইকমু,আমি বিয়ের পরে এ দেশেই থাকব
Translate Bangla to English ভাইরাসটি দাবানলের চেয়েও দ্রুত ছড়িয়ে পড়তে পারে।,the virus spread faster than wildfire.
Translate Bangla to English এই বাড়িটা আমার ঠাকুরদার।,this house is my grandfather's.
Translate Bangla to Sylheti: ছড়া,ছড়ি
Translate Bangla to English সে দাঁতের ডাক্তারের কাছে গিয়েছিল।,he went to the dentist.
Translate English to Bangla: who ate?,কে খেয়েছিল?
Translate English to Bangla: she's my wife.,ইনি আমার স্ত্রী।
Translate Bangla to Sylheti: অনীহা প্রকাশ,পদানি
Translate Sylheti to Bangla: আ'দ,প্রার্থনা
Translate English to Bangla: she got angry.,ইনি রেগে গেছিলেন।
Translate Sylheti to Bangla: গাইড়া,দুশ্চরিত্র
Translate English to Bangla: my father grows rice.,আমার বাবা ধান চাষ করে।
Translate English to Bangla: i don't want tom to see me like that.,আমি চাই না টম আমাকে ওই অবস্থায় দেখুক।
Translate English to Bangla: who are they?,ওনারা কারা?
"Translate English to Bangla: tom kept knocking on the door, but nobody came.","টম বারবার দরজায় ধাক্কা দিলেন, কিন্তু কেউ বেরোলো না।"
Translate English to Bangla: how much is this clock?,এই ঘড়িটার দাম কত?
Translate English to Bangla: could we talk in private?,আমরা কি একান্তে কথা বলতে পারি?
Translate Bangla to English আপনি কি পুরোটা পরেছেন?,did you read it all?
Translate Bangla to Sylheti: তন্দ্রা,আলিমিলি
Translate Sylheti to Bangla: করাইত,ঘৃণা
Translate Bangla to English টম চেঁচানো শুরু করলো।,tom started screaming.
Translate Bangla to Sylheti: পদাঘাত করে,উশটাইয়া
"Translate English to Bangla: ""why aren't you going?"" ""because i don't want to.""","""তুমি যাচ্ছো না কেন?"" ""কারন আমি যেতে চাই না।"""
Translate Bangla to Sylheti: কানায় কানায় ভর্তি,উচকানো
Translate Bangla to Sylheti: কৃপণ,কনজুস
Translate Bangla to English টম গান গাইতে ভালোবাসতো।,tom loved to sing.
Translate English to Bangla: i thought you were canadian.,আমি ভেবেছিলাম আপনি কানাডীয়।
Translate Bangla to English ওখানের ঐ সুন্দরী মেয়েটা কে?,who is that beautiful girl over there?
Translate English to Bangla: then what?,তাহলে?
Translate Bangla to Sylheti: খটখট,কডর মডর
Translate Bangla to English আমার তেষ্টা পায়নি।,i am not thirsty.
Translate Sylheti to Bangla: কাউয়া কেচ কেচি,কলহ
Translate Sylheti to Bangla: অচিন,অচেনা
Translate Sylheti to Bangla: আনকুয়া,নিয়ে আসেন
Translate Bangla to English আমি একদম একমত।,i totally agree.
Translate Sylheti to Bangla: ইতাহিতা,এটাওটা
Translate Bangla to English আমি বুঝতে পারছি না।,i don't understand.
Translate English to Bangla: i'd like to check out tomorrow morning.,আমি কাল সকালে ঘরটা ছেরে দিতে চাই।
Translate Bangla to English এই বইটা কি একঘেয়ে?,is the book boring?
Translate Bangla to English টম তার জামা পরেই ঘুমিয়েছে।,tom slept with his clothes on.
Translate Sylheti to Bangla: অনোউবা,এখানে দাঁড়া
Translate Bangla to English টম আমাকে ফরাসি শেখায়।,tom teaches me french.
Translate Sylheti to Bangla: তারারে,তাদেরকে
Translate Bangla to Sylheti: অল্প,উতুটি
Translate Bangla to English এই ঘরে শীততাপ নিয়ন্ত্রন করা যায়?,does the room have air conditioning?
Translate English to Bangla: where do you live?,আপনি কোথায় থাকেন?
Translate Bangla to English আমরা সাহায্য করব।,we'll help.
Translate English to Bangla: we speak french.,আমরা ফরাসি ভাষা বলি।
Translate Sylheti to Bangla: আতাইর পাতাইর,এদিক সেদিক
Translate Sylheti to Bangla: থয়া,রাখা
Translate Sylheti to Bangla: ওডুর,অল্প
Translate Bangla to English তুমি কি অসুস্থ?,are you sick?
Translate Bangla to Sylheti: সিদ্ধ চাল,উনা চাউল
Translate Bangla to Sylheti: খাওয়ায় যে,খিলানেওয়ালা
Translate Sylheti to Bangla: আবুইদ্দা,ছোট ছেলে-মেয়ে
Translate Bangla to Sylheti: তাড়াতাড়ি,চুরুত্তি
Translate Bangla to English আমি কেন তোমাকে সাহায্য করব?,why should i help you?
Translate Bangla to English আপনি টমকে টাকা দিয়েছিলেন কেন?,why did you give money to tom?
Translate Bangla to Sylheti: শেষ,আখের
Translate Bangla to English কেউ বোঝে না।,nobody understands.
Translate Sylheti to Bangla: দাড়ুয়ায়,দাড় বাহকে
Translate Sylheti to Bangla: আগেমুতে,মলমূত্র ত্যাগ করে
Translate Bangla to English আমার গ্লাসটি ভরতি।,my glass is full.
Translate Bangla to English আমাকে অনুগ্রহ করে আপনার ফোন নাম্বারটি বলুন।,please tell me your phone number.
Translate Bangla to English টম আহত।,tom's hurt.
Translate Bangla to English কি অদ্ভুত!,how weird!
Translate Bangla to English চীন এশিয়ার বৃহত্তম দেশ।,china is the biggest country in asia.
Translate English to Bangla: she is capable of teaching english.,উনি ইংরাজি পড়াতে সক্ষম।
Translate Sylheti to Bangla: লাগে আমার মন যাই যাই করে,লাগে আমার মন যেতে চায়
Translate Sylheti to Bangla: খবরি,দূত
Translate Bangla to Sylheti: কাশবনের তৈরি,কশোর
Translate Bangla to English আপনারা প্রথমে যান।,you go first.
Translate Bangla to English বৃষ্টি পরতে পারে।,it may rain.
Translate Sylheti to Bangla: খাম খাম,খাই খাই স্বভাব
Translate English to Bangla: i don't want you.,আমি আপনাকে চাই না।
Translate Bangla to Sylheti: এখন,এবলা্কু
Translate Bangla to English এখানেই থামুন।,stop right here.
Translate Bangla to Sylheti: পাট শাক,নাইল্যাপাতা
Translate Bangla to Sylheti: গোসলের সময়ে,নাইতে বেলা
Translate Sylheti to Bangla: ইচরানো,পাট কাঠি থেকে পাট ছাড়ানো
Translate Sylheti to Bangla: হুফা,মাস্ক
"Translate Bangla to Sylheti: মিথ্যাবাদী, বেজন্মা",আওইসায় পয়দা
Translate Bangla to English আপনি সেখানে যেতে চান কেন তা বলুন।,tell me why you want to go there.
Translate Bangla to English ও বাচ্চাদের মত ঘুমাচ্ছে।,he's sleeping like a baby.
Translate English to Bangla: leave me.,আমাকে চেড়ে দিন।
Translate Bangla to Sylheti: সকলে মিলে খাওয়া,কাইমে খাওয়া
Translate Bangla to Sylheti: আপনি কী ভেবেছিলেন,আফনে কিতা মনে খরলা
Translate Bangla to Sylheti: অনুমানে,ঠারেঠারে
Translate Bangla to Sylheti: গায়ে দেয়ার হলুদ,উটকন
Translate Bangla to English একটু তারাতারি করুন।,please hurry.
Translate Sylheti to Bangla: কলে,সুযোগে
Translate Bangla to Sylheti: পেছন দিকে,করদি
Translate Bangla to Sylheti: ওই যেসব গান গাইয়া ননসিলেটিরা নাচেন,ও য্যাতা গান গাইয়া ননছিলোটিরা নাছুইন
Translate Bangla to Sylheti: একস্তর,একফরু
Translate Bangla to Sylheti: ইতস্তত করে,আস্তাইয়া পস্তাইয়া
Translate Bangla to English টম নিজের কাজের পদ্ধতিতে বেশ নিয়মনিষ্ঠ।,tom is very methodical in the way he does his work.
Translate Bangla to Sylheti: যখন,জবতর
Translate English to Bangla: i don't think that tom is breathing.,আমার মনে হয় না টম শ্বাস নিচ্ছিল।
Translate Sylheti to Bangla: তজুর,বিক্রম
Translate Sylheti to Bangla: এরই,একটুকু
Translate Sylheti to Bangla: আমি তো ফাখি ই আছি,আমি তো পাখি ই আছি
Translate Bangla to Sylheti: চিৎকা্র,চিয়াইর
Translate Sylheti to Bangla: গজারি চোখ,বড় চোখ
Translate Bangla to English আমি আমার টিকিটটি বাতিল করতে চাই।,i'd like to cancel my ticket.
Translate Bangla to Sylheti: নোয়াখালীর আপা এসে আলামিনোর বিস্কুট আর গরুমার্কা ডেউটিনের বড় বড় গল্প দিয়ে গেলেন,নোয়াখালীর আফায় আইরা আলামিনোর বিস্কুট আর গরুমার্কা ডেউটিনের বড় বড় গপ দিয়া গ্যালা
Translate Sylheti to Bangla: আইজকু,আজকে
Translate English to Bangla: tom kept crying all night.,টম সারা রাত কেঁদেছিল।
Translate Sylheti to Bangla: আমরার দেশো গরিব নাই,আমাদের দেশ মোটেও গরিব নয়
Translate Bangla to Sylheti: খোঁজ,তুকা
Translate Bangla to English আপনি যা বললেন তা সত্যি নয়।,what you said isn't true.
Translate Bangla to Sylheti: শুষ্ক প্রায়,মরমরা
Translate Bangla to Sylheti: বলো,কইও
Translate Sylheti to Bangla: খুইদ্যা,খুঁড়ে
Translate English to Bangla: how long do you plan to do this?,আপনি কতদিন এটি করার পরিকল্পনা করছেন?
Translate Bangla to English সকালের খাওয়াটা কখন দেওয়া হয়?,when is the breakfast served?
"Translate Sylheti to Bangla: হাছা কইছ, পাইনা","সত্যি বলেছ, বাসি না!"
Translate Bangla to Sylheti: এলোপাতারি,আতাড়ে পাথাড়ে
Translate Sylheti to Bangla: খেতা,কাথা
Translate Sylheti to Bangla: উশুম বুশুম লাগা,অস্বস্তি লাগা
Translate English to Bangla: i need time.,আমার সময় দরকার।
Translate Bangla to Sylheti: কোনকিছুর খবর বা টের,কুন্তাবুদ
Translate Sylheti to Bangla: এর লাগিউ কয় আই আজকর যতুন নন সিলোটি আয়চুন বুইচ্চুননি এরা সিলোটের বালা কোনতা কইত্তা নাই,এর জন্য বলছি আমি আজকে যত ননসিলেটি এসেছে বুঝেছেন এরা সিলেটেরর ভালো কিছু বলবেনা
Translate Bangla to Sylheti: চুলকায়,খাউজায়
"Translate Bangla to Sylheti: হাতা ,হাতল",আতা
Translate Sylheti to Bangla: মাতছে,কথা বলেছে
Translate English to Bangla: he is a very important person.,ও একজন গুরুত্বপূর্ণ ব্যক্তি।
Translate English to Bangla: are those yours?,সেইগুলো কি আপনার?
Translate English to Bangla: i don't think that tom has met either of mary's sisters.,আমার মনে হয় না টম মেরির কোনো বোনের সাথে সাক্ষাৎ করেছে।
Translate Bangla to English টম আজ বিকেলে তিন ঘন্টা ঘুমিয়েছে।,tom slept for three hours this afternoon.
Translate Sylheti to Bangla: খাকরা খাকড়ি,বিবা্দ
Translate Bangla to Sylheti: এটা ভাবতে ভাবতে সময় ফুরায়,ইতা ভাবতে ভাবতে বেইল পুরায়
Translate English to Bangla: she's my wife.,তিনি আমার স্ত্রী।
Translate Bangla to Sylheti: অসম্বন্ধ বাক্য,আগরম বাগরম
Translate Bangla to English ওঠো।,get up.
Translate English to Bangla: don't make noise.,আওয়াজ করবেন না।
Translate Bangla to Sylheti: কোথাও যেন শান্তি নেই,কোনখানো বালা নাই
Translate Sylheti to Bangla: উমনি গরম,ঈষৎ গরম
Translate Bangla to English আপনার ভ্রমণের উদ্দেশ্য কী?,what's the purpose of your visit?
Translate Bangla to English আমি বুঝেছি।,i got it.
Translate English to Bangla: who ran?,কে দৌড়েছিলেন?
Translate English to Bangla: would you like something to drink?,আপনি কি কিছু খাবেন?
Translate English to Bangla: you need a new girlfriend.,তোমার এখন একটা নতুন বান্ধবী চাই।
Translate Bangla to English আজ বছরের সব থেকে গরম দিন।,today is the hottest day this year.
Translate Bangla to Sylheti: পান বিক্রেতা,কিরান
"Translate Bangla to English বছরের বারোটা মাস হলো জানুয়ারি, ফেব্রুয়ারি, মার্চ, এপ্রিল, মে, জুন জুলাই, আগস্ট, সেপ্টেম্বর, অক্টোবর, নভেম্বর আর ডিসেম্বর।","january, february, march, april, may, june, july, august, september, october, november and december are the twelve months of the year."
Translate Sylheti to Bangla: টাল,স্তুপ
Translate Bangla to Sylheti: সামনে্র দিকেও,আগেদিও
Translate Bangla to Sylheti: সেবক,খাদিমদার
Translate Bangla to English নাই মামার চেয়ে কানা মামা ভালো।,better a small fish than an empty dish.
Translate Bangla to English ক্ষমা করবেন।,i'm sorry.
Translate English to Bangla: put on your sweater.,তোমার সোয়েটার পরে নাও।
Translate Bangla to Sylheti: গোয়ালা,গুয়াইল
Translate Sylheti to Bangla: উককুত,হঠকারিতা
Translate English to Bangla: tom is going to sing.,টম গান গাইতে চলেছে।
Translate Bangla to Sylheti: আবেগ,দেরেগ
"Translate Bangla to English অনেক অনেক ধন্যবাদ, ডাক্তারবাবু।","thank you very much, doctor."
Translate Bangla to English এটা আমার দোষ না।,that wasn't my fault.
Translate Bangla to English টম চেঁচাচ্ছে।,tom is screaming.
Translate Bangla to Sylheti: মাচান,চাৎ
Translate Bangla to English ও উঠে দাঁড়ালো।,he stood up.
Translate Sylheti to Bangla: উলুসনা,এলোমেলো
Translate Sylheti to Bangla: পাখনাও নাই,পাখনাও নেই
Translate Bangla to Sylheti: নামাজের ছোট পাটি,আদি
Translate English to Bangla: i'll take him.,আমি তাকে নিয়ে যাবো।
Translate Bangla to English আমরা নাচবো।,we'll dance.
Translate Bangla to English তামার পারমাণবিক সংখ্যা ২৯।,the atomic number of copper is 29.
Translate Sylheti to Bangla: সিলেটি মাইনষে বুলে পড়ালেখা করইন না,সিলেটি মানুষে নাকি পড়ালেখা করেন না
Translate English to Bangla: isn't tom great?,টম দারুন না?
Translate Bangla to English পুয়ের্তো রিকানদের ১৯১৭ সালে মার্কিন নাগরিকত্ব প্রদান করা হয়।,puerto ricans were granted us citizenship in 1917.
Translate English to Bangla: you're dreaming.,আপনি স্বপ্ন দেখছেন।
Translate English to Bangla: she needed the entire afternoon to complete the work.,কাজটি শেষ করতে তার পুরো বিকেলের প্রয়োজন ছিল।
Translate Bangla to English আমি আমার ডান পাটা নাড়াতে পারিনি।,i couldn't move my right foot.
Translate English to Bangla: i don't think tom has met either of mary's sisters.,আমার মনে হয় না টম মেরির কোনো বোনের সাথে সাক্ষাৎ করেছে।
Translate Bangla to Sylheti: শিকড় দুই গাছা,জড়ি দুককা
Translate Sylheti to Bangla: মুখাল,মুখর
Translate Bangla to Sylheti: ওগো,আলো
Translate English to Bangla: tom will return tomorrow.,টম কাল ফিরে আসবে।
Translate Bangla to English না বুঝলে প্রশ্ন করতে দ্বিধা করবেন না।,don't hesitate to ask questions if you don't understand.
Translate Sylheti to Bangla: উয়াশা,শখ
Translate Sylheti to Bangla: চিচবো,ছিঃ ছিঃ
Translate English to Bangla: i'll be back in three minutes.,আমি তিন মিনিটের মধ্যে ফিরে আসবো।
Translate Bangla to Sylheti: হেঁচকি,আতি
Translate English to Bangla: i'd like to change my reservation from three to five nights.,আমি সংরক্ষণটি তিন দিন থেকে পাঁচ দিনে পালটাতে চাই।
Translate Sylheti to Bangla: চুদুবুুদু করা,দেরি
Translate English to Bangla: she ate the apple.,আপেলটি তিনি খেয়েছেন।
Translate Bangla to English এটা সত্যিই বিরক্তিকর।,that's really annoying.
Translate Sylheti to Bangla: চিরাচিরি,পরস্পর উপহাস
Translate Bangla to English আমাকে ওখানে পাঠান।,send me there.
