sylheti,bangla
চলম,পট্টি
চলা মুখ,রান্নাঘর
চশমা পানি,ঘা
চা,চাষা
চাৎ,মাচান
চাং,মাচান
চাংগা,মোটাসোটা
চাংথনে,মাচান
চাংরা,চলন্ত মাচান
চাই,ছোট ফোড়া বিশেষ
চাইত,তারিখ
চাইন,চাল হতে ধান পৃথক করার উপকরণ
চাইন চুইন,হৃষ্ট পুষ্ট
চাইয়া,চেয়ে
চাইর চন্নি,চারদিক
চাইয়া চিতিয়া,দেখে শুনে
চাইর চোখে,সামনাসামনি
চাইরটা,সামান্য
চাইরোবায়,চারদিকে
চাইরোমুখা,চারদিকে
চাইরো মযর,চার মাজহাবের ইমামের মত
চাইর চইয়া,চারবার চাষ করা হয়েছে এমন
চাইল,বাঁশে্র ভেলা
চাইল টাইল,চাল ডাল
চাউংরা,মাছের ভার
চাউর,একজাতীয় মাছ
চাওয়াও,দেখাও
চাক,বাসা
চাককা মারা,শক্তিশালী
চাক্কা,চাকা
চাকা,স্বাদ গ্রহণ করা
চাকারি,দলা
চাচ,বাশ বেতের চাটাই
চাচিয়া,চেটে
চাটা,প্রদীপ
চাটাবাটার,পিরীতের
চাটি,চাটাই
চাটুয়া,একপ্র্রকার জলজ পোকা
চাটুর চুটুর,অস্থিরতা
চাটটা মিঠা,নাশতা বিশেষ
চাড্ডা,মতিগতি
চাতল,ধান মাড়াইবার স্থান
চাদ্দর,চাঁদর
চানইয়ানি,চাল হতেে ধান পৃথকীকরণ
চানখাট,চেপ্টা
চানচরা,চামচিকা
চানদর,ঘরের চালার এক কিনারের অংশ
চানদর ঠারে,অনুমানে
চানদা,বেশ
চান্দ,চাঁদ
চান্দো,চাঁদে
চাননারি,চাকা
চান্নিপর,চাঁদনি
চানি,ছনের ছাউনি
চাপি,চাপ দেয়া
চাপ মাটি,মাটি চাপা
চাববুয়া,চোয়াল
চাবা,মাড়ি
চাম,কীট বিশেষ
চাম উকইন,যে উকুন চামড়ায় হয়
চামচারা,চামচিকা
চামপাতলা,পাতলা খোসাযুক্ত
চামরা,পায়ের তলার রোগ বিশেষ
চাম শিংগাল,লম্বা শিং বিশিষ্ট
চার,মাচান
চারখানা,চৌক ছিটের কাপড়
চারচুর,কঠিন আবরণ
চারনি,নীরস
চারা,মাটি্র হাড়ি পাতিলের ভগ্নাংশ
চাড়াল,চণ্ডাল
চারুয়া,নীরস
চালত নাই,ঘরের চালে নাই
চাললা,ঘাস বিশেষ
চালাইয়া,চালিয়ে
চালাউরা,চালক
চালা চককর,চাল চলন
চালি,বাঁশের ভেলা
চালুন কাটা,মিষ্টি খাদ্য বিশেষ
চাসনি,কাঁগজি লেবু হতে লম্বা ও আকারে বড় লেবু
চাসা,কাঠ অ বাঁশকে পালিশ করা
চাসাচুলা,রসকষহীন
চাড়া,আঘাত
চি,শিশুদের প্রস্রাব করানোর সংকেত
চিংরাই,জ্লজ উদ্ভিদ
চিকা,ইঁদুর
চিক,চিৎকার
চিককা,হালকা
চিকরা বিকরা,চিৎকার
চিকলা মাটি,এঁটেল মাটি
চিখইর,খেলা বিশেষ
চিখচিকা,চিহ্নিত
চিচবো,ছিঃ ছিঃ
চিটরাব,তামাক মলার গুড়
চিতরা,বিচিত্র
চিতরা ফাকরা,বহু বর্ণ বিশিষ্ট
চিতরি,ভেজা কাপরের কালো দাগ
চিনকারি,চিহ্ন
চিনা,ধান জাতীয় একপ্রকার শস্য
চিনাত,পরিচয়
চিনার,কাঁকুড় ফুল
চিনি পান,বিবাহের কথাবারতার প্রাথমিক অনুষ্ঠান
চিপ,কাঠের টুকরা
চিপনি,লন্ঠনের কাঁচ
চিপা,নিংরানো
চিপাচিপি,অপ্রশস্ত
চিমচিমি,একটু একটু
চিমটি,মুষ্টি
চিমাই,চাইয়ের একটি অংশ
চিমাই চিমাই,ইঁতস্তত করা
চিমাওয়া,সামান্য বাহ্য করে যে
চিমানো,একটুু একটু করে নিঃসৃত হওয়া
চিমুচিমু,চিনচিন ব্যথা
চিয়া,ঢেকির মুঘল
চিয়াইর,চিৎকা্র
চিয,অলংকার
চিযসবিল,জিনিসপত্র
চির কথা,বদনাম
চিরকা,ছিপছিপে
চিরকা চিরকা,ক্ষীণকায়
চিরকা কুটা,এক সঙ্গে কলহ
চিরকার,পৃথকরূপে বিভক্ত
চিরফাটা,সামান্য ফাটল
চিরাচিরি,পরস্পর উপহাস
চিরানি,ঠাট্টা
চিরাফারা,ছেঁড়া
চিরি,জমি
চিরিবান্ধা,পরস্পর
চিলকা,ছিলকা
চিললা,খণ্ড টুকরা
চিললা পাসলা,ছিন্ন বিচ্ছিন্ন
চিলিক পারা,ঝিকমিক করা
চিলিম,খড়িকা
চিলিমচি,পিকদানি
চিস,বেহায়া
চিসিংগা,তরকারি বিশেষ
চিড়াচিড়ি,বংশানুক্রমে
চিড়ি,বংশানুক্রমে
চু,কুকুর তাড়ানোর শব্দ
চুংগাচিলা,নীচমনা
চুইংগিয়া,মাছ ধরার জন্য ব্যবহৃত বাঁশের শলাকা
চুই,চুষি
চুইতমারা,লোকানো
চুইয়া,চুষে
চুক,রাগ
চুক কইলে,রাগ করলে
চুকচুকি,তেজ
চুকল,খোলস
চুকলকুরি,একের কথা অন্যের নিকট বলা
চুকা,ধারালো
চুকাচুকি,সংকোচ
চুকান,গ্রাহ্য করা
চুকানি,কাগজ বা বেড়া ছিদ্র করার শলাকা
চুকুমচাকুম,রাগ
চুকুমবুদাই,বোকা
চুকুর মুকুর,ছোটখাট
চুগ,কাণ্ড
চুচা,সারহীন শস্য
চুট,আঘাত
চুটি,বিশেষ ধরনের পাটি
চুটকি মারা,টক লাগা
চুটটা,যার কথার ঠিক নাই
চুটটামি,দুষ্টামি
চুটপাট,রাগারাগি
চুটমুট,যৎকিঞ্চিত
চুটলাগা,রোগ হওয়া
চুত্তরানি,ইতরামি
চুতিয়া,গালি বিশেষ
চুদাউরি,পরপুরুষ গ্রহণকারিনী
চুদুবুুদু করা,দেরি
চুদুম,অলস
চুদুম দেওয়া,ঠকানো
চুদুর বুদুর,বাড়াবাড়ি
চুনচুন,চূর্ণ-বিচূর্ণ
চুননু,ছোট
চুনিয়া,ধান মারার পাত্রবিশেষ
চুনিয়া কথা বলা,হিসেব করে কথা বলা
চুপচুপ করা,চূর্ণ-বিচূর্ণ করা
চুপা,ক্রোধ
চুবা,ডুবুডুবু
চুবাই চুটকি,ঠাট্টা মশকরা
চুবাকাটি,ফাৎনা
চুয়ন চায়ন,হাড় ও মাংসের ছোট ছোট টুকরা
চুয়া,চোষা
চুয়ান,নিঃসরণ
চুরন,ধান ইত্যাদি ছিড়ে নেওয়া
চুরন চারন,নীচুমানের মাংস
চুরি চামারি,ধুর্তামি
চুরি ধাউরি,ঠকানো
চুরুততরি,তাড়াতাড়ি
চুরুত্তি,তাড়াতাড়ি
চুরুতদি,তাড়াতাড়ি
চুলা হিতান,চুলার শিয়র
চেংগা,কর্মঠ
চেংগা গাট,জড়সড়
চেংগানো,আটকা পড়া
চেংটা,তুচ্ছ
চেংপিসলা,নাছোরবান্দা
চেউ,মুরগির বাচ্চার ডাক
চেউমেউ,কোলাহল
চেওরাট,বর্ষা
চেকমেকানি,উদ্ধতভাব
চেকরেকা পর,সামান্য আলো
চেখা,পিছন দিকে বাঁকা
চেখারেখা,স্যাতঁস্যাঁতে
চেখিরেখি,দুইদিনের জাঁকজমক
চেগ,পাহাড়ের মধ্যভাগের উর্বর সমতল ক্ষেত্র
চেগাই চেগাই,মাজা বাঁকিয়ে
চেগাইথা,নির্বাক হয়ে
চেগাইয়া,স্তম্ভিত হয়ে
চেগা হওয়া,মাঝখানে বেঁকে  যাওয়া
চেগারানো,জড়ানো
চেচ,বিড়াল তাড়ানোর শব্দ
চেচানি,চিৎকার
চেচুর মেচুর,পুত্র কন্যাদি
চেচে কেরা,যণ্ত্রনায় চিৎকার করা
চেটা,নিষ্কর্মা
চেটাচেটি,বাজে বলা বা করা
চেটি,অসতী
চেত,চেতনা
চেত করা,দাগ দেয়ার শব্দ
চেত চইতন,প্রাণের সাড়া
চেতবেত,চেতনাশক্তি
চেতমেত করা,মাছ ডিম ইত্যাদি ভাজা
চেত লাগা,রাগে উত্তেজিত হওয়া
চেতা,সতেজ হওয়া
চেদাবেদা,অলস
চেন,পুংলিঙ্গ
চেনচেনানি,অনধিকার চর্চা
চেনা,পশুর মূত্র
চেনাইয়া,প্রস্রাব করে
চেনেপেলে,সবকিছু
চেপচেপা,অল্প ভেজা
চেপার চেপার,শব্দ বিশেষ
চেবেললান,কথায় কথায় গালি দেওয়া
চেবেললামি,বোকাামি
চেমটা,শুকনা
চেমরাউনি,ভেজা ভেজা
চেমা,ভেজা
চেমাইনদার,নিষ্কর্মা পরহেজগার
চেরচেরাইয়া,চটপট করে
চেরব,চর্বি
চেরবেরা,কর্কশ ভাষী
চেরমেটা,অতিক্ষুদ্র পোকা
চেরা,চেহারা
চেরাচেপটা,বিশৃঙ্খলা
চেরাছবি,চেহারা
চেরাততি,ক্ষিপ্ত হস্তে
চেরার,চেহারার
চেরেম চেরেম,চপলতা
চেলডান,শেষ করা
চেলাকটি,মাছ বিশেষ
চেলাকোটি,পাখি বিশেষ
চেহেত,স্বাস্থ্য
চোক,রাগ
চোখচাকি,তর্জন গর্জন
চোটমুট,কোন রকমে
চোপরা,মাছ রাখার পাত্র
চোস,বদমায়েশ
চোসামি,শঠতা
ছইতেমরা,লজ্জাবতী
ছইবায়,স্পর্শ করবে
ছফরি,ধাত্রী
ছওয়ায়,ব্যতীত
ছকরাত,মৃত্যু যন্ত্রণা
ছটা,ছড়ি
ছটিছিলা,আঁতুড় ঘর হতে বের হওয়ার উৎসব
ছতোবতো,ব্যতিব্যস্ত
ছদরোর আলা,সর্বশ্রেষ্ঠ
ছদুবুধু,দিশাহারা
ছন্নে ছাতু,ছিন্ন ভিন্ন
ছবট,আবেশ
ছবতা,সবকিছু
ছবতাত,সবকিছুতেই
ছমাছার,সংবাদ
ছরক,রাস্তা
ছরকাত,মৃত্যু  যন্ত্রতা
ছরতা,যাঁতি
ছরফরা,চঞ্চল
ছরাইয়া মরাইয়া,পা মেলে
ছরি,শিস
ছরু,ছোট
ছলম,শ্বেত রোগ
ছলা,রাগ করা
ছলি,উত্তেজনা
ছলিল,রাগ করিল
ছলো,জুড়ি
ছয়,উপায়
ছয় ছন্নি,পঞ্চম সুরে
ছয়লানি,জলক্রীড়া
ছয়াল তুলি,প্রশ্ন তুলে
ছহিদা,সেজদা
ছড়ি,ছড়া
ছাউলিয়া পুয়া,বার্তাবাহক
ছাওয়া,ছায়া
ছাছি,চালের পানি পরার স্থান
ছাট্টা,প্রভাব
ছাটিছে,মেরে ফেলেছে
ছাতানী,কষ্ট দেওয়া
ছানি,ছাউনি
ছাপর,নিচু
ছাপ্পর,ছাদ
ছাফ,পরিষ্কার
ছাফছফা,পরিষ্কার
ছাফছুতরা,পরিষ্কার
ছাব,সাহেব
ছাবন,সাবান
ছাব্বা,ছাপ মারা
ছাবোল,শিশু
ছাবোর বন্দ,কারিগর
ছামনে,সামনে
ছার,চাপ
ছারবায়,ছাড়বে
ছালন,তরকা্রি
ছালামি,নিয়ম
ছালি,ছাই
ছায়বানী,শাশুড়ি
ছাড়া,মেজাজ
ছিতরাইয়া,এলোমেলো করে
ছিতরিয়া বিতরিয়া,বিচ্ছুরিত হয়ে
ছিকইন,মাটির সরার হাতলের অংশ
ছিক দিয়া,শিস দিয়ে
ছিক মারা,টান মারা
ছিটকারি,ছিটকিনি
ছিত্তম,কষ্ট
ছিনান,স্নান
ছিপ,চামচ
ছিপাই,সেপাই
ছিবাছুরত,চেহারার নমুনা
ছিরমিট,সিমেন্ট
ছিরানাত,মাথায়
ছিলায়,ছিলে
ছিংগল,বেত
ছিংলা,বাঁশের টুকরো
ছুখতে,গোপনে
ছুফা,রাগ
ছুবার,ঝোপের
ছুরতা,যাঁতি
ছুররায়,ছাল ফেলে
ছুলফা ছালফা,পরিপাটি
ছুলায়,ছিলে
ছুলে,আপোস
ছুলি ছালি,ছাল খুলে
ছুয়াব,সওয়াব
ছুয়াল,প্রশ্ন
ছুয়াল জুয়াফ,জিজ্ঞাসাবাদ
ছেইছ,"বারান্দার নিচের অংশ
"
ছেওয়া,ছায়া
ছেচ,কোন মায়া
ছেদ,কোপ
ছেদা,ছিদ্র
ছেনি,ডালা
ছেপ,থু থু
ছেবা,ছায়া
ছেমটা,সামলানো
ছেমটাত,সানলানোতে
ছেমটিলা,সামলা্লেন
ছেমা,ছায়া
ছেরাবেরা,এলো্মেলো
ছৈদ,সৈয়দা
ছোলা,ছোবড়া
জংলায়,জংলেতে
জইঠ মাস,জ্যৈষ্ঠ মাস
জউতি,জউতিষী
জউদিয়ে,বারবার বলায়
জউরাই,বীরত্ব
জকড়ি-মকড়ি,লতাপাতা
জকান্দানি,প্রাণহরণ
জখা,যক্ষ্মা
জজবা,জৌলুস
জতোতা,যতগুলো
জথা,যাঁহা
জনমর,জীবনের
জপোমীন,জপতে থাকা
জব,জবাই
জবতর,যখন
জবর,প্রবল
জবানা,জমানা
জবুনা,জমুনা
জর,বিষ
জরুল,প্রয়োজন
জরিতা,জরা
জয়মো,যশ
জলই,পেরেক
জলদি,শীঘ্র
জলদিনা,শীঘ্র
জসীর,জায়গির
জড়ি,গাছের শিকড়
জড়ি দুককা,শিকড় দুই গাছা
জাইগল,ছোট নয়
জাইরা,প্রকাশ্যে
জাইরা জাইরি,প্রকাশ্যে
জাইল,জাহেল
জাইন যে,যাবেন
জাউকা,যান
জাকান্দানি,প্রাণহরণ
জাখর,জষর
জাগল,হৃষ্ট পুষ্ট
জাগা,জায়গা
জাগা নাই,জায়গা নেই
জাংগাল,সড়ক
জাজ,জাহাজ
জাজিয়া,জাহাজে চাকুরে
জাত বেজাত,অনেক রকম
জাতমথ,বংশ মর্যাদা
জাতা,চাপ
জাতার নির্বিশ,চাপে চুরমার
জাতি,চাপ দিয়ে
জাতিয়ালা,বংশ গৌরব
জাতিয়ালা কম,বংশ গৌরব কম
জাতে আঢ়ে,বংশের গৌরবে
জান,প্রাণ
জানতর,প্রাণে স্বস্তি বোধ
জানুপাড়ি,হাটু গেঁড়ে
জানে মারা,হত্যা করা
জানোনানি,জানো না নাকি
জানোর,প্রাণের
জাবড়ি,চেপে
জামির,লেবু
জায়জিগির,টা্টকা
জারমনি,কচুরিপানা
জারা,সহ্য করা
জারিলা,হজম কর
জারিলাও,হজম করে ফেল
জারিলাইতাম,হজম করে ফে্লতাম
জারিয়া,চলমান
জারেজার,টগমগ
জালাউরা,জ্বালানোর লোক
জালি,চালকুমড়া
জাহির জিকির,সামনাসামনি
জাড়,শীত
জাড়ে,শীতে
জি অয়,জী হ্যাঁ
জিক,জেদ
জিকাইলা,জিজ্ঞেস করলেন
জিকানিয়ে,জিজ্ঞাসায়
জিকার করি,জিজ্ঞেস করে
জিকারতা,জিজ্ঞেস
জিকারে,জিজ্ঞেস  করে
জিকায়,জিজ্ঞেস করে
জিগর,ক্ষমতা
জিগার-পুচার,খবর নেওয়া
জিতক,জয় লাভ করুক
জিত্তল,জীবিত
জিত্তা,জীবিত
জিতা,জয়লাভ
জিতি,জয় করা
জিতিছি,জয় করেছি
জিতিত,জয়লাাভ করতো
জিতিলাইছি,জয় করেছি
জিতুক,জয়লাভ করুক
জিদ,জেদ
জিনজির,শিকল
জিন্দেগানী,জীবন
জিন্তিবাইজ,জিতের দাও
জিনিপুক,জোনাকি
জিপরা,জিহ্বা
জিপরাত,জিহ্বা্বায়
জিব,জিহ্বা
জিবরা,জিহ্বা
জিমু,জীবিত থাকব
জির,কেঁচো
জিরান,বিশ্রাম
জিলকি,বিদ্যুৎ চমকানো
জিলকি,খিড়কি
জিলকির ছেওটে,বিদ্যুৎ বেগে
জিয়ন্তে,জীবিত অবস্থায়
জিয়াখান খাটিল,ঠোঁট বন্ধ করল
জিয়াফত,দাওয়াত
জুই,জো
জুইত,জুতসহ
জুইত ফাগা,ঠিকঠাক
জুকিপকি হাপ,কীটপতঙ্গ সাপ
জুখ,জোঁক
জুংগি,বাঁশে্র তৈরি ধান রাখার পাত্র
জুনিপুক,জোনাকি পোকা
জুয়াইয়া দিলা,বলে দিলেন
জুয়ান,জোয়ান
জুয়ান ধাক্কা,পূর্ণ যৌবনপ্রাপ্ত
জুয়ান্তি,যৌবন
জুয়াফ,জবা্ব
জুড়িন্দা,জোড়াবন্দ নৌকা
জেওরাত,অলংকার
জেজাম,কুষ্ঠ রোগ
জেঝ,যৌতুক
জেব,পকেট
জের,বশীভূত
জেরনায়,কম নয়
জেরবার,পরাজয়
জেলান,যে রকম
জোগাড় দেয়া,উলুধ্বনি দেওয়া
জোড়আত,জোড় হাত
ঝুড়ি,মুষলধারে বৃষ্টিপাত
ঝানু,বিজ্ঞ
ঝিবায়,যেভাবে
ঝিয়াই,মেয়ে
ঝিয়ারি,মেয়ে
ঝিলা,যেরূপে
ঝুপরা,ডাল ঘুটনি
ঝুমা,উপর্যুপরি
ঝুলি খেতা,ছিঁড়া কাথা
ঝেলা,স্ত্রী
ঝেলাইন,স্ত্রীলোক
ঝেলাইন্তর,স্ত্রীলোকের
ঝেলাইন্তে,স্ত্রীলোকে
ঝেলাজাত,স্ত্রীলোক
ঝেলার,স্ত্রীলোকের
টংগি,বৈঠকখানা
টগরইন,ভ্রমণ করেন
টগরাত,বেড়ানোতে
টগরিবা,বেড়াবেন
টগরে,বেড়ায়
টন্নি,কৌসুলি
টপটা,সিঁড়ি
টবোর,খাড়া
টলোমলো,টলমল
টরেবরে,কোন প্রকারে
টাই,নিকট
টাইট,নির্ঘাত
টাইয়া,ঠাণ্ডা
টাউয়া,ঠাণ্ডা
টাউয়া পানি,ঠান্ডা
টাউলা-টাউলি,ঝগড়া
টাক্কল-দা,হাতির মাহুতের দা
টাগই,কচুুরিপনা
টাঙ্গি,কর্তন যন্ত্র
টাটেমাটে,আড়ম্বরের সংগে
টান আছে,মায়া আছে
টান টিরোট,অভাব অনটন
টানা আছলি,অভাব অনটন
টাবোর,ক্ষুরের
টামাইন,নিষ্পত্তি
টাল,স্তুপ
টিকাউলি,চুনোপুটিঁ
টিপা,টিপ
টিপাই,টিপে
টিপাই টিপাই,টিপে টিপে
টিপি টিপি,আস্তে আস্তে
টিবসই,টিপসহি
টিমটিমা,টইটম্বুর
টেংগর,উঁচুনিচু
টেংগা,কর্কশ
টেংঝেং,দুর্ব্যবহার
টেংরা,খারাপ লোক
টেকই,টুনটুনি পাখি
টেকর,ঠুয়া
টেকা,টাকা
টেকা পয়সা,টাকাপয়সা
টেকাগুইন,টাকাগুলো
টেকি,টুনটুনি পাখি
টেগর,ঠুয়া
টেপ দেওয়া,সম্মতি দেওয়া
টেপরা,ফোটা ফোটা
টেবরা,ফোটা
টেরা,দোষ ধরা
টুনকি,ঠুনকো
টুমা,টুকরো
ঠকাইছন,ঠকিয়েছেন
ঠকাইছুন,ঠকানো হয়েছে
ঠগামি,প্রতারণা
ঠরো,দাঁড়াও
ঠশ,ফাঁপা
ঠাইট,নির্ঘাত
ঠাইত মরা,নিশ্চিত মরা
ঠাইন,থেকে
ঠাইয়া,ঠান্ডা
ঠাইয়া বয়ার,ঠান্ডা বাতাস
ঠাওয়ানো,সঠিকভাবে রাখা
ঠাওরানো,সঠিকভাবে রাখা
ঠাকরাইন,ঠাকুরনি
ঠাকুভাই,বড়ভাই
ঠাকুরভোগ,একপ্রকার সরু ধান
ঠাট্টমারি,উচ্চস্বরে
ঠাঠা,বজ্রপাত
ঠাঠামিছা,নির্ঘাত মিথ্যা
ঠান্ডাগু,ঠান্ডাগুলো
ঠান্ডি পোলাও,পান্তা ভাত
ঠানামান,অঙ্গভঙ্গি
ঠানি,স্থান
ঠামানো,সঠিকভাবে রাখা
ঠামানি,সঠিকভাবে রাখা
ঠার,টের
ঠারেঠারে,অনুমানে
ঠারঠুর,টের
ঠারপায়,টের পায়
ঠিলু,মাথার খুলি
ঠুই,খিলি
ঠুকামারা,ঠোকামারা
ঠুয়া,আঙ্গুলের মৃদু আঘাত
ঠেং,পা
ঠেংদি,পা দিয়ে
ঠেইকা,দায় পড়া
ঠেকা,আটক
ঠেংগো,পায়ে
ঠেঙ্গা,লাঠি
ডনকা,ডংকা
ডনকাত,ডংকায়
ডন্ড পওর,দন্ড প্রহর
ডন্ডি,দন্ড
ডম,ডোম
ডর,ভয়
ডরা,ভয়ার্ত
ডরাইয়ো,ভয় করো
ডরি,মাছ ধরার ফাদ
ডরোর,ভয়ের
ডলু,এক ধরনের বাঁশ
ডহর,নদীর গভীরতম স্থান
ডাইকবা,ডাকবে
ডাইনের সীতারা,অশুভ কাল
ডাউংশা,কনুই দিয়ে আঘাত
ডাউকরা,ডাক দেয় যে
ডাকবা,ডাকবে
ডাকবায়,ডাকবে
ডাকরা,ডাকছে
ডাকানি,তাড়ানি
ডাকিতরা,ডাকছে
ডাকিতরায়,ডাকছো
ডাট,শক্ত
ডাটা অইয়া,শক্ত
ডাট্টা,শক্ত
ডাবিন,নৌকার দাঁড়
ডাম,ছোট পাটি
ডামদি,চাটাই দিয়ে
ডাংগর,বড়
ডাংশা,কনুই দিয়ে আঘাত
ডিগরা,ঘাস খাওয়ার জন্য পশু বেঁধে রাখার দড়ি
ডিগি,আবদ্ধ রাখা
ডিঙ্গামানিক,কলার নাম
ডিট,কুদৃষ্টি
ডিপা,ছিপি
ডিবি,কৌটা
ডিমাক,দেমাক
ডিমাকো,দেমাকেতে
ডিয়াইয়া,ডিঙিয়ে
ডুওর,তূলা
ডুগডুগা,কচি
ডুগি,ডাটা
ডুপি,ঘুঘু পাখি
ডুম,ডোম
ডুৃম ডুকলা,নীচুজাত
ডুমনি,ডোমের স্ত্রী
ডুলানি,সরানো
ডেউয়া,ভেকল
ডেকা,ষাঁড় বাছুর
ডেকি,মাদি বাছুর
ডেঙ্গা,ডাঁটা
ডেম,চারা
ডেমা,বংশধর
ডেমী,অপ্রাপ্তবয়স্ক মুরগি
ডেরা,ছাউনি
তং,কম
তই,তারপর
তইছা,তেমন
তইসন,তদ্রূপ
তইসাকা,তেমন
তউলিয়া,পরীক্ষা করা
তকব্বরি,গর্ব করা
তখতা,কাঠ
তখনকু,তখন
তখরচাত,বাজে খরচ
তছবির,ছবি
তছলা,পাতিল
তকি,টুপি
তকিত,অনুসন্ধান
তকিতকরি,সন্ধান করি
তক্কু ছক্কু,বোকা
তজুর,বিক্রম
তত,এত
ততবইল,এত সময়
তথ,তথ্য
তথা,ওখানে
তন,দেহ
তনদুরস্তি,সন্তুষ্টি
তনাই,শরীর
তনাইত,শরীরে
তনাইপাত,শরীর পাত
তনু,দেহ
তনে,থেকে
তফন,লুঙ্গি
তবন্দ,লুঙ্গি
তম্বুর করা,স্তুপ করা
তমুলী,মূলতবি
তমেত,বদনাম
তয়,সন্ধান
তয়মূল,তত্ত্ব
তয়লয়া,সন্ধান করা
তয়াংগর,অবস্থাপন্ন
তয়াকুলি,অদৃষ্টনির্ভর
তরপার,নষ্ট
তরা,পার হওয়া
তরাতড়ি,তাড়াতাড়ি
তরাস,ভয়
তরাসী,ত্রাসে
তরে,তোকে
তল,নিচ
তলগ,পর্যন্ত
তলপানি,পাতলা কাথা
তলুয়া,অধীনস্থ
তলেদি,নিচ দিকে
তড়ে দিয়া,স্থলপথ দিয়ে
তসতরি,পিরিচ
তড়,তট
তড়পানি,ছটফট করা
তড়াতড়ি,তাড়াতাড়ি
তা,গুলি
তাই,সে (স্ত্রী)
তাইজ্জুব,অবাক
তাইন,তিনি
তাইনও,তিনিও
তাইন তাইন,তারা
তাইয়ার,তৈরি
তাইর,তার(স্ত্রী)
তাইশ,তাগাদা
তাইশে,তাগাদায়
তাওয়ে ভাওয়ে,দম্ভভরে
তাগদা,তাগাদা
তাগড়া,জবরদস্ত
তাগা,কালো সুতা
তাজ,মুকুট
তাজাতনা,হৃষ্টপুষ্ট
তাতই,তাতে
তাততনে,তা হতে
তাতনে,তা হতে
তাথো,তার থেকে
তান,তাঁর
তানা,কাপড় বুনানোর জন্য সুতার তানা
তাপ,জ্বর
তাফোরকানা,বোকা
তাব,ক্ষমতা
তাবান,সেক গ্রহণ করা
তাবিশে,অতিশয্যে
তামচা,থাপ্পড়
তামাদি,শেষ
তামাম,শেষ
তামুক,তামাক
তারবাদে,তারপরে
তারবায়দি,তারদিকে
তারার,তাদের
তারাররু,তাদেরই
তারারে,তাদেরকে
তারিপ,সুনাম
তালাব,পুকুর
তালাবি,খোঁজ নেয়া
তালাবী,সেবা সুশ্রূষা
তালু চুলাইল,ন্যাড়া
তালু ডুলাইল,ন্যাড়া
তালেবর,ধনী
তাড়,ভাত নাড়ার চামচ
তিক,জিদ
তিনকালোর,তিন কালের
তিনগাড়া,তিনভাবে
তিনচিনি,তিন পুরুষ
তিনোতরায়,তাড়াতাড়ি
তিফিল,অবুঝ
তিয়াইতর,তাদের
তিয়াগ,ত্যাগ
তিয়ার,প্রস্তুত
তিয়ার তার,প্রস্তুত
তিয়াস,পিপাসা
তিয়াসি,পিপাসা
তিরবুবন,ত্রিভুবন
তিরি,স্ত্রী
তিরিগন,স্ত্রীগণ
তিরুট,ত্রুটি
তিরুটিয়া,রক্ত
তিলিছমাতি,তেলেছমাতি
তিলোতরা,তাড়াতাড়ি
তিসকারে,ঘৃণায়
তুকা,খোঁজ
তুকাও,খোঁজ কর
তুকাইন,খোঁজ করা
তুকাইয়া,খুঁজে
তুকাইরা,খোঁজ করছেন
তুকাইলা,খুঁজলেন
তুকাউকা,খুঁজুন
তুক্কা,ঢিল
তুকাতুকি,খোঁজাখুজি
তুকানি,খোঁজ করা
তুকায়,খোঁজ করে
তুখুমকরি,রাগ করে
তুখোম,শৌর্য
তুজরবা,শক্তিমত্তা
তুঝ,স্তুপ
তুমরার,তোমাদের
তুমার,তোমার
তুমালাকান,তোমার মত
তুলকাটি,মানদন্ড
তুড়লা,ধ্বংস করলো
তে,যে
তেইন,তিনি
তেউ,তাই
তেউবুলে,তারপর
তেও,তাহলেও
তেওতে,তাতে
তেওতো,তবুও
তেকি,তাতে কি
তে-কেনে,তবে কেন
তেগিয়া,তারপর
তেছরাইল,তীর্যক
তেজরতি,ব্যবসা
তেজা,ত্যাগ করা
তেজাইল,তেজস্বর
তেজিমু,ত্যাগ করবো
তেজিতা,ত্যাগ করতেন
তেতই,তেঁতুল
তেনদর,ত্যাঁদড়
তেনা,ন্যাকড়া
তেপথি,তিন রাস্তার সঙ্গমস্থল
তেপি,তাহলে
তেমকানি,তেমনি
তেমনে,তেমনিভাবে
তেলচুরা,তেলাপোকা
তেলাল,তেলওয়ালা
তেলিগাম,টেলিগ্রাম
তেয়ার,তৈয়ার
তেড়া,ব্যাঁকা
তেড়াবেড়া,ব্যাঁকাতেড়া
থই,রাখি
থইওড়ি,রেখে
থইওড়ো,রেখে দেন
থইছে,রেখেছে
থইতাম,রাখতাম
থইবার,রাখার
থইয়া,রেখে
থইরাক,রেখে দাও
থইল,রাখিল
থউকা,রাখুন
থও,রাখ
থয়,রাখে
থয়া,রাখা
থরাখমু,রেখে দেব
থরপনি,কাপুনি
থল,স্থল
থড়িয়া,নাক
থাইব থুইব,সঞ্চিত সম্পদাদি
থাউক,থাকুক
থাকইন,থাকেন
থাকউক,থাকুক
থাকবা,থাকবে
থাকবায়,থাকবে
থাকবায়নি,থাকবে নাকি
থাকবোনি,থাকবে নাকি
থাকানি,নিভানো
থাকি,থেকে
থাংগিদার,আশ্রয়দাতা
থাতিদায়,চোরের আশ্রয়দাতা
থান,স্থান
থানখান,স্থানটা
থাবড়া,থাপ্পড়
থাবা,বাঁশের বেতের ঝুড়ি
থাবাদি,হাত দিয়ে আঘাত
